Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,23.84375,23.96875,23.6875,23.78125,14.945373000000002,11060400
1995-11-20,23.75,23.84375,23.25,23.25,14.611510999999998,10502800
1995-11-21,23.28125,23.71875,23.25,23.625,14.847179,12520800
1995-11-22,23.6875,24.09375,23.59375,23.8125,14.965014000000002,8794000
1995-11-24,23.8125,24.15625,23.8125,23.96875,15.063214000000002,2974400
1995-11-27,24.125,24.34375,23.90625,23.96875,15.063214000000002,8807200
1995-11-28,23.9375,24.375,23.90625,24.25,15.239964,11564800
1995-11-29,24.3125,24.375,24.1875,24.28125,15.259599,11290000
1995-11-30,24.3125,24.53125,24.15625,24.15625,15.181045999999998,10257600
1995-12-01,24.25,24.25,23.6875,23.6875,14.886455999999999,10063600
1995-12-04,23.75,24.3125,23.65625,24.03125,15.102484,10820400
1995-12-05,24.21875,24.28125,23.90625,23.9375,15.043575,11005600
1995-12-06,24.0625,24.125,23.5625,23.9375,15.043575,12077600
1995-12-07,23.8125,23.875,23.5,23.6875,14.886455999999999,10983600
1995-12-08,23.75,24.21875,23.65625,24.21875,15.220329999999999,10232800
1995-12-11,24.28125,24.3125,23.96875,24.0625,15.122128,8436800
1995-12-12,24.09375,24.1875,23.8125,23.84375,14.984658,8667200
1995-12-13,23.78125,23.84375,23.59375,23.625,14.847179,11023600
1995-12-14,23.6875,23.78125,23.09375,23.4375,14.729348000000002,13562000
1995-12-15,23.0,23.0,22.46875,22.5625,14.179445999999999,27393600
1995-12-18,22.5,22.53125,21.9375,22.25,13.983053,25420800
1995-12-19,22.28125,22.96875,22.28125,22.96875,14.434747,14977600
1995-12-20,23.0,23.0,22.28125,22.34375,14.041973,14423200
1995-12-21,22.46875,22.78125,22.4375,22.71875,14.277652,10696000
1995-12-22,22.71875,22.96875,22.71875,22.8125,14.336564000000001,7509600
1995-12-26,23.0,23.03125,22.90625,22.9375,14.415126,3781600
1995-12-27,22.9375,23.0,22.6875,23.0,14.454398999999999,6288000
1995-12-28,22.78125,22.84375,22.5,22.53125,14.159811999999999,7109600
1995-12-29,22.59375,22.9375,22.375,22.84375,14.356198000000001,13854000
1996-01-02,22.84375,23.03125,22.65625,22.71875,14.277652,10033600
1996-01-03,22.75,22.8125,22.25,22.3125,14.02234,12528000
1996-01-04,22.28125,22.28125,21.40625,21.71875,13.649189000000002,32332800
1996-01-05,21.5,22.1875,21.5,22.15625,13.924137,15505600
1996-01-08,22.15625,22.3125,22.15625,22.28125,14.0027,3531600
1996-01-09,22.28125,22.28125,21.53125,21.6875,13.629553,14894000
1996-01-10,21.65625,22.3125,21.65625,21.8125,13.708108,22751600
1996-01-11,22.03125,22.125,21.5,21.8125,13.708108,18498400
1996-01-12,21.8125,21.8125,21.53125,21.59375,13.570632999999999,10657600
1996-01-15,21.625,21.625,20.78125,20.78125,13.060017,14971200
1996-01-16,21.03125,21.9375,20.875,21.75,13.668832,18452000
1996-01-17,21.6875,22.3125,21.4375,21.90625,13.767033999999999,19284800
1996-01-18,22.5,24.0625,22.40625,24.0625,15.122128,39428000
1996-01-19,24.15625,26.03125,24.125,25.5,16.02553,52584000
1996-01-22,25.375,25.96875,25.34375,25.5625,16.064804000000002,21172000
1996-01-23,25.1875,26.125,25.1875,25.75,16.182651999999997,19836800
1996-01-24,25.78125,27.25,25.78125,26.75,16.81109,31955600
1996-01-25,26.90625,27.0,26.03125,26.03125,16.359398000000002,18887200
1996-01-26,25.96875,26.5625,25.875,26.1875,16.457584,10588400
1996-01-29,26.1875,26.65625,26.0625,26.625,16.732536,9474400
1996-01-30,26.625,27.25,26.59375,27.15625,17.066399,18374400
1996-01-31,27.0,27.46875,26.875,27.125,17.046757,20059200
1996-02-01,27.1875,27.59375,27.03125,27.25,17.125319,16311200
